,color,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
9,red,10.5,0.071,0.36,0.9978,7.5,17.0,3.35,5,6.1,0.8,102.0,0.5
11,red,10.5,0.071,0.36,0.9978,7.5,17.0,3.35,5,6.1,0.8,102.0,0.5
33,red,9.4,0.073,0.12,0.9993,6.9,40.0,3.45,6,10.7,0.52,83.0,0.605
35,red,9.6,0.086,0.0,0.9986,7.8,5.0,3.4,6,5.5,0.55,18.0,0.645
39,red,10.5,0.074,0.36,0.9978,7.3,12.0,3.33,5,5.9,0.83,87.0,0.45
40,red,10.5,0.074,0.36,0.9978,7.3,12.0,3.33,5,5.9,0.83,87.0,0.45
154,red,10.5,0.07,0.42,0.9973,7.1,29.0,3.42,5,5.5,0.72,129.0,0.43
155,red,10.5,0.071,0.42,0.9973,7.1,28.0,3.42,5,5.5,0.71,128.0,0.43
156,red,10.5,0.07,0.42,0.9973,7.1,29.0,3.42,5,5.5,0.72,129.0,0.43
157,red,10.5,0.071,0.42,0.9973,7.1,28.0,3.42,5,5.5,0.71,128.0,0.43
163,red,9.4,0.07,0.26,0.9982,7.4,36.0,3.37,5,7.3,0.49,121.0,0.6
164,red,9.4,0.07,0.26,0.9981,7.3,35.0,3.37,5,7.2,0.49,121.0,0.59
215,red,10.5,0.06,0.49,0.9974,7.0,26.0,3.34,5,5.6,0.76,121.0,0.49
274,red,9.4,0.088,0.18,0.99915,7.5,27.0,3.38,5,7.0,0.77,94.0,0.65
278,red,12.6,0.073,0.45,0.9976,10.3,5.0,3.23,8,6.4,0.82,13.0,0.32
279,red,10.5,0.087,0.32,0.9991,8.9,10.0,3.38,7,5.6,0.77,47.0,0.4
283,red,10.5,0.087,0.32,0.9991,8.9,10.0,3.38,7,5.6,0.77,47.0,0.4
324,red,9.2,0.071,0.2,1.0015,10.0,13.0,3.16,6,11.0,0.69,50.0,0.49
325,red,9.2,0.071,0.2,1.0015,10.0,13.0,3.16,6,11.0,0.69,50.0,0.49
364,red,10.0,0.083,0.66,1.0022,12.8,7.0,3.07,7,5.8,0.73,42.0,0.615
366,red,10.0,0.083,0.66,1.0022,12.8,7.0,3.07,7,5.8,0.73,42.0,0.615
378,red,13.3,0.088,0.66,0.9988,11.4,6.0,3.11,6,6.2,0.99,24.0,0.625
396,red,9.9,0.122,0.02,0.9994,6.6,68.0,3.47,5,7.9,0.53,124.0,0.735
400,red,9.9,0.122,0.02,0.9994,6.6,68.0,3.47,5,7.9,0.53,124.0,0.735
413,red,11.7,0.097,0.53,0.9986,9.9,6.0,3.27,7,6.7,0.82,19.0,0.4
415,red,9.3,0.117,0.24,1.0014,8.6,31.0,3.32,5,6.6,1.07,134.0,0.725
480,red,9.2,0.069,0.39,1.0026,10.6,6.0,3.12,5,15.5,0.66,23.0,0.28
494,red,12.1,0.051,0.23,0.9952,6.5,28.0,3.44,6,8.3,0.55,91.0,0.39
501,red,12.0,0.074,0.73,0.999,10.4,38.0,3.17,7,6.55,0.85,76.0,0.44
502,red,12.0,0.074,0.73,0.999,10.4,38.0,3.17,7,6.55,0.85,76.0,0.44
515,red,9.3,0.122,0.49,1.001,8.5,34.0,3.31,5,6.1,1.14,151.0,0.655
538,red,12.0,0.066,0.49,1.0014,12.9,5.0,3.2,7,5.8,0.66,35.0,0.35
541,red,11.0,0.064,0.49,0.9988,9.5,5.0,3.21,6,6.3,0.73,17.0,0.46
595,red,9.3,0.086,0.41,0.9998,8.9,30.0,3.27,5,7.9,0.57,109.0,0.595
624,red,10.2,0.124,0.0,0.9997,6.8,21.0,3.46,5,5.6,0.72,58.0,0.69
625,red,10.2,0.124,0.0,0.9997,6.8,21.0,3.46,5,5.6,0.72,58.0,0.69
645,red,10.1,0.115,0.1,0.9984,7.8,5.0,3.37,7,6.0,0.69,11.0,0.64
649,red,11.3,0.068,0.27,0.9948,6.7,24.0,3.16,6,8.6,0.57,148.0,0.42
652,red,14.9,0.096,0.65,0.9976,15.9,22.0,2.98,5,7.5,0.84,71.0,0.36
705,red,9.9,0.073,0.15,0.999,8.4,11.0,3.37,5,6.0,0.49,54.0,1.035
889,red,9.3,0.112,0.34,1.00289,10.7,23.0,3.22,5,6.6,0.68,99.0,0.9
903,red,10.8,0.06,0.06,0.9962,6.8,11.0,3.41,7,6.0,0.59,18.0,0.59
904,red,10.8,0.06,0.06,0.9962,6.8,11.0,3.41,7,6.0,0.59,18.0,0.59
911,red,10.9,0.114,0.46,0.99901,9.1,3.0,3.18,6,9.0,0.6,9.0,0.28
917,red,10.1,0.084,0.31,0.99824,6.8,26.0,3.38,6,8.8,0.64,45.0,0.41
923,red,10.1,0.084,0.31,0.99824,6.8,26.0,3.38,6,8.8,0.64,45.0,0.41
974,red,12.1,0.073,0.41,0.99658,8.8,7.0,3.3,7,5.9,0.62,13.0,0.33
1038,red,12.6,0.078,0.41,0.9953,8.7,25.0,3.24,7,6.2,0.77,42.0,0.41
1043,red,10.9,0.069,0.41,0.99859,9.5,18.0,3.29,7,8.9,0.81,39.0,0.39
1071,red,9.2,0.098,0.2,0.99892,7.5,30.0,3.2,5,8.1,0.58,92.0,0.77
1074,red,9.2,0.098,0.2,0.99892,7.5,30.0,3.2,5,8.1,0.58,92.0,0.77
1077,red,11.0,0.08,0.65,0.99817,8.6,3.0,3.27,5,6.4,0.58,8.0,0.37
1078,red,11.0,0.08,0.65,0.99817,8.6,3.0,3.27,5,6.4,0.58,8.0,0.37
1079,red,12.3,0.05,0.68,0.99316,7.9,37.5,3.01,7,8.3,0.51,278.0,0.3
1081,red,12.3,0.05,0.68,0.99316,7.9,37.5,3.01,7,8.3,0.51,289.0,0.3
1094,red,10.8,0.117,0.09,0.99655,6.6,9.0,3.35,6,5.5,0.49,17.0,0.725
1096,red,10.8,0.117,0.09,0.99655,6.6,9.0,3.35,6,5.5,0.49,17.0,0.725
1133,red,11.2,0.089,0.07,0.99684,7.2,10.0,3.37,7,5.5,0.68,18.0,0.48
1147,red,11.8,0.071,0.45,0.99702,10.0,6.0,3.21,7,6.2,0.49,14.0,0.41
1176,red,11.2,0.079,0.03,0.99572,6.5,23.0,3.58,4,5.6,0.5,47.0,0.88
1186,red,12.2,0.079,0.03,0.9963,6.6,6.0,3.52,5,7.8,0.5,12.0,0.8
1203,red,9.4,0.111,0.19,0.99878,9.9,33.0,3.14,5,5.8,0.55,76.0,0.74
1235,red,11.5,0.054,0.32,0.99572,6.0,6.0,3.3,4,12.9,0.56,113.0,0.33
1244,red,10.3,0.067,0.25,0.99721,5.9,72.0,3.33,6,13.4,0.54,160.0,0.29
1276,red,12.0,0.05,0.4,0.99566,8.5,3.0,3.28,4,6.3,0.56,10.0,0.4
1388,red,10.3,0.083,0.31,0.99718,6.6,7.0,3.35,5,6.1,0.68,49.0,0.64
1434,red,9.0,0.214,0.37,1.00369,10.2,55.0,3.18,6,15.4,0.77,95.0,0.54
1435,red,9.0,0.214,0.37,1.00369,10.2,55.0,3.18,6,15.4,0.77,95.0,0.54
1474,red,8.8,0.205,0.5,1.00242,9.9,48.0,3.16,5,13.8,0.75,82.0,0.5
1476,red,8.8,0.205,0.5,1.00242,9.9,48.0,3.16,5,13.8,0.75,82.0,0.5
1478,red,10.2,0.082,0.05,0.99808,7.1,3.0,3.4,3,5.7,0.52,14.0,0.875
1558,red,9.5,0.235,0.33,0.99787,6.9,66.0,3.22,5,6.7,0.56,115.0,0.63
1574,red,10.5,0.074,0.78,0.99677,5.6,23.0,3.39,6,13.9,0.48,92.0,0.31
1589,red,9.2,0.073,0.2,0.9977,6.6,29.0,3.29,5,7.8,0.54,79.0,0.725
